nr,comment_id,created_at,window_start,comment_count,attack_count,attack_ratio,toxic_ratio,freq,aggr,dyn,focus,score_0_1,score_0_100,warning_level
1,910100001,2026-01-01T12:00:00+00:00,2026-01-01T12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
2,910100002,2026-01-01T12:00:18+00:00,2026-01-01T12:00:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
3,910100003,2026-01-01T12:00:36+00:00,2026-01-01T12:00:00+00:00,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
4,910100004,2026-01-01T12:05:00+00:00,2026-01-01T12:05:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
5,910100005,2026-01-01T12:05:18+00:00,2026-01-01T12:05:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
6,910100006,2026-01-01T12:05:36+00:00,2026-01-01T12:05:00+00:00,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
7,910100007,2026-01-01T12:05:54+00:00,2026-01-01T12:05:00+00:00,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
8,910100008,2026-01-01T12:10:00+00:00,2026-01-01T12:10:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
9,910100009,2026-01-01T12:10:18+00:00,2026-01-01T12:10:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
10,910100010,2026-01-01T12:10:36+00:00,2026-01-01T12:10:00+00:00,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
11,910100011,2026-01-01T12:10:54+00:00,2026-01-01T12:10:00+00:00,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
12,910100012,2026-01-01T12:11:12+00:00,2026-01-01T12:10:00+00:00,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
13,910100013,2026-01-01T12:15:00+00:00,2026-01-01T12:15:00+00:00,1,0,0.0,0.0,0.002,0.01,0.0,0.0,0.0,0.0,normal
14,910100014,2026-01-01T12:15:18+00:00,2026-01-01T12:15:00+00:00,2,0,0.0,0.0,0.0104,0.0435,0.0,0.0,0.0002,2.0,normal
15,910100015,2026-01-01T12:15:36+00:00,2026-01-01T12:15:00+00:00,3,0,0.0,0.0,0.0295,0.01,0.0,0.0,0.0001,1.0,normal
16,910100016,2026-01-01T12:15:54+00:00,2026-01-01T12:15:00+00:00,4,0,0.0,0.0,0.0617,0.0435,0.0,0.0,0.0013,13.0,normal
17,910100017,2026-01-01T12:16:12+00:00,2026-01-01T12:15:00+00:00,5,0,0.0,0.0,0.1076,0.0239,0.0,0.0,0.0008,8.0,normal
18,910100018,2026-01-01T12:16:30+00:00,2026-01-01T12:15:00+00:00,6,0,0.0,0.0,0.167,0.0435,0.0,0.0,0.0025,25.0,normal
19,910100019,2026-01-01T12:16:48+00:00,2026-01-01T12:15:00+00:00,7,0,0.0,0.0,0.239,0.0435,0.0,0.0,0.0033,33.0,watch
20,910100020,2026-01-01T12:17:06+00:00,2026-01-01T12:15:00+00:00,8,0,0.0,0.0,0.3228,0.0435,0.0,0.0,0.0042,42.0,watch
21,910100021,2026-01-01T12:17:24+00:00,2026-01-01T12:15:00+00:00,9,0,0.0,0.0,0.4176,0.0435,0.0,0.0,0.0052,52.0,watch
22,910100022,2026-01-01T12:17:42+00:00,2026-01-01T12:15:00+00:00,10,0,0.0,0.0,0.5,0.0435,0.0,0.0,0.0061,61.0,watch
23,910100023,2026-01-01T12:20:00+00:00,2026-01-01T12:20:00+00:00,1,0,0.0,0.0,0.0002,0.0042,0.0,0.0,0.0,0.0,normal
24,910100024,2026-01-01T12:20:18+00:00,2026-01-01T12:20:00+00:00,2,0,0.0,0.0,0.0014,0.018,0.0,0.0,0.0,0.0,normal
25,910100025,2026-01-01T12:20:36+00:00,2026-01-01T12:20:00+00:00,3,0,0.0,0.0,0.0054,0.0042,0.0,0.0,0.0,0.0,normal
26,910100026,2026-01-01T12:20:54+00:00,2026-01-01T12:20:00+00:00,4,0,0.0,0.0,0.0144,0.018,0.0,0.0,0.0001,1.0,normal
27,910100027,2026-01-01T12:21:12+00:00,2026-01-01T12:20:00+00:00,5,0,0.0,0.0,0.0302,0.0042,0.0,0.0,0.0,0.0,normal
28,910100028,2026-01-01T12:21:30+00:00,2026-01-01T12:20:00+00:00,6,0,0.0,0.0,0.0543,0.018,0.0,0.0,0.0004,4.0,normal
29,910100029,2026-01-01T12:21:48+00:00,2026-01-01T12:20:00+00:00,7,0,0.0,0.0,0.0874,0.018,0.0,0.0,0.0005,5.0,normal
30,910100030,2026-01-01T12:22:06+00:00,2026-01-01T12:20:00+00:00,8,0,0.0,0.0,0.1296,0.018,0.0,0.0,0.0007,7.000000000000001,normal
31,910100031,2026-01-01T12:22:24+00:00,2026-01-01T12:20:00+00:00,9,0,0.0,0.0,0.1809,0.018,0.0,0.0,0.0009,9.0,normal
32,910100032,2026-01-01T12:22:42+00:00,2026-01-01T12:20:00+00:00,10,0,0.0,0.0,0.2409,0.018,0.0,0.0,0.0012,12.0,watch
33,910100033,2026-01-01T12:23:00+00:00,2026-01-01T12:20:00+00:00,11,0,0.0,0.0,0.3092,0.018,0.0,0.0,0.0015,15.0,watch
34,910100034,2026-01-01T12:23:18+00:00,2026-01-01T12:20:00+00:00,12,0,0.0,0.0,0.3855,0.018,0.0,0.0,0.0019,19.0,watch
35,910100035,2026-01-01T12:25:00+00:00,2026-01-01T12:25:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
36,910100036,2026-01-01T12:25:18+00:00,2026-01-01T12:25:00+00:00,2,0,0.0,0.0,0.0001,0.0139,0.0,0.0,0.0,0.0,normal
37,910100037,2026-01-01T12:25:36+00:00,2026-01-01T12:25:00+00:00,3,0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,normal
38,910100038,2026-01-01T12:25:54+00:00,2026-01-01T12:25:00+00:00,4,0,0.0,0.0,0.0023,0.0139,0.0,0.0,0.0,0.0,normal
39,910100039,2026-01-01T12:26:12+00:00,2026-01-01T12:25:00+00:00,5,0,0.0,0.0,0.0061,0.0,0.0,0.0,0.0,0.0,normal
40,910100040,2026-01-01T12:26:30+00:00,2026-01-01T12:25:00+00:00,6,0,0.0,0.0,0.0133,0.0139,0.0,0.0,0.0001,1.0,normal
41,910100041,2026-01-01T12:26:48+00:00,2026-01-01T12:25:00+00:00,7,0,0.0,0.0,0.0252,0.0139,0.0,0.0,0.0002,2.0,normal
42,910100042,2026-01-01T12:27:06+00:00,2026-01-01T12:25:00+00:00,8,0,0.0,0.0,0.0425,0.0139,0.0,0.0,0.0002,2.0,normal
