nr,comment_id,created_at,window_start,comment_count,attack_count,attack_ratio,toxic_ratio,freq,aggr,dyn,focus,score_0_1,score_0_100,warning_level
1,910400001,2026-01-01T12:00:00+00:00,2026-01-01T12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
2,910400002,2026-01-01T12:00:18+00:00,2026-01-01T12:00:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
3,910400003,2026-01-01T12:05:00+00:00,2026-01-01T12:05:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
4,910400004,2026-01-01T12:05:18+00:00,2026-01-01T12:05:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
5,910400005,2026-01-01T12:10:00+00:00,2026-01-01T12:10:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
6,910400006,2026-01-01T12:10:18+00:00,2026-01-01T12:10:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
7,910400007,2026-01-01T12:10:36+00:00,2026-01-01T12:10:00+00:00,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
8,910400008,2026-01-01T12:15:00+00:00,2026-01-01T12:15:00+00:00,1,1,1.0,1.0,0.0111,0.3756,0.2007,0.2509,0.0025,25.0,watch
9,910400009,2026-01-01T12:15:18+00:00,2026-01-01T12:15:00+00:00,2,2,1.0,1.0,0.0424,0.4843,0.301,0.301,0.0127,1.27,watch
10,910400010,2026-01-01T12:15:36+00:00,2026-01-01T12:15:00+00:00,3,3,1.0,1.0,0.0961,0.5169,0.301,0.301,0.0313,3.13,watch
11,910400011,2026-01-01T12:15:54+00:00,2026-01-01T12:15:00+00:00,4,4,1.0,1.0,0.1708,0.5496,0.301,0.301,0.0607,6.07,watch
12,910400012,2026-01-01T12:16:12+00:00,2026-01-01T12:15:00+00:00,5,5,1.0,1.0,0.2643,0.5496,0.301,0.301,0.1001,10.01,watch
13,910400013,2026-01-01T12:16:30+00:00,2026-01-01T12:15:00+00:00,6,6,1.0,1.0,0.3744,0.5496,0.301,0.301,0.1521,15.21,watch
14,910400014,2026-01-01T12:16:48+00:00,2026-01-01T12:15:00+00:00,7,7,1.0,1.0,0.4993,0.5496,0.301,0.301,0.2185,21.85,watch
15,910400015,2026-01-01T12:17:06+00:00,2026-01-01T12:15:00+00:00,8,8,1.0,1.0,0.5,0.5496,0.301,0.301,0.2189,21.89,watch
16,910400016,2026-01-01T12:17:24+00:00,2026-01-01T12:15:00+00:00,9,9,1.0,1.0,0.5,0.5496,0.301,0.301,0.2189,21.89,watch
17,910400017,2026-01-01T12:17:42+00:00,2026-01-01T12:15:00+00:00,10,10,1.0,1.0,0.5,0.5496,0.301,0.301,0.6,60.0,critical
18,910400018,2026-01-01T12:18:00+00:00,2026-01-01T12:15:00+00:00,11,10,0.909,0.909,0.5,0.5496,0.301,0.301,0.6,60.0,critical
19,910400019,2026-01-01T12:18:18+00:00,2026-01-01T12:15:00+00:00,12,10,0.833,0.833,0.5,0.5496,0.301,0.301,0.6,60.0,critical
20,910400020,2026-01-01T12:18:36+00:00,2026-01-01T12:15:00+00:00,13,10,0.769,0.769,0.5,0.5496,0.301,0.301,0.6,60.0,critical
21,910400021,2026-01-01T12:18:54+00:00,2026-01-01T12:15:00+00:00,14,10,0.714,0.714,0.5,0.5496,0.301,0.301,0.6,60.0,critical
22,910400022,2026-01-01T12:20:00+00:00,2026-01-01T12:20:00+00:00,1,1,1.0,1.0,0.0002,0.2032,0.1003,0.2509,0.0,0.0,watch
23,910400023,2026-01-01T12:20:18+00:00,2026-01-01T12:20:00+00:00,2,2,1.0,1.0,0.0014,0.2096,0.1505,0.301,0.0002,2.0,watch
24,910400024,2026-01-01T12:20:36+00:00,2026-01-01T12:20:00+00:00,3,3,1.0,1.0,0.0054,0.2296,0.1505,0.2759,0.0009,9.0,watch
25,910400025,2026-01-01T12:20:54+00:00,2026-01-01T12:20:00+00:00,4,4,1.0,1.0,0.0144,0.259,0.2258,0.301,0.0028,28.000000000000004,watch
26,910400026,2026-01-01T12:21:12+00:00,2026-01-01T12:20:00+00:00,5,5,1.0,1.0,0.0302,0.297,0.2258,0.301,0.0064,64.0,watch
27,910400027,2026-01-01T12:21:30+00:00,2026-01-01T12:20:00+00:00,6,6,1.0,1.0,0.0543,0.3307,0.2258,0.301,0.0125,1.25,watch
28,910400028,2026-01-01T12:21:48+00:00,2026-01-01T12:20:00+00:00,7,7,1.0,1.0,0.0874,0.3981,0.2258,0.301,0.023,2.3,watch
29,910400029,2026-01-01T12:22:06+00:00,2026-01-01T12:20:00+00:00,8,8,1.0,1.0,0.1296,0.4433,0.2509,0.301,0.0383,3.83,watch
30,910400030,2026-01-01T12:22:24+00:00,2026-01-01T12:20:00+00:00,9,9,1.0,1.0,0.1809,0.4956,0.2509,0.301,0.0591,5.91,watch
31,910400031,2026-01-01T12:22:42+00:00,2026-01-01T12:20:00+00:00,10,10,1.0,1.0,0.2409,0.5126,0.2509,0.301,0.6,60.0,critical
32,910400032,2026-01-01T12:23:00+00:00,2026-01-01T12:20:00+00:00,11,10,0.909,0.909,0.3092,0.5126,0.2509,0.301,0.6,60.0,critical
33,910400033,2026-01-01T12:23:18+00:00,2026-01-01T12:20:00+00:00,12,10,0.833,0.833,0.3855,0.5126,0.2509,0.301,0.6,60.0,critical
34,910400034,2026-01-01T12:23:36+00:00,2026-01-01T12:20:00+00:00,13,10,0.769,0.769,0.4694,0.5126,0.2509,0.301,0.6,60.0,critical
